sample_id,file,target_kind,source_index,num_angles,true_range,true_velocity,true_angle_deg,true_d_idx,true_r_idx,valid
0,./learn_dataset_vehicle_single\sample_00000.npz,vehicle,1,1,300.028765287597,9.829057547776102,1.3957351926611101,1,166,1
1,./learn_dataset_vehicle_single\sample_00001.npz,vehicle,2,1,299.93047527718824,9.82894451547657,1.3974033011861424,1,166,1
2,./learn_dataset_vehicle_single\sample_00002.npz,vehicle,3,1,299.8321863976581,9.82883137199782,1.399072533373227,1,166,1
3,./learn_dataset_vehicle_single\sample_00003.npz,vehicle,4,1,299.73389865011933,9.828718117195274,1.4007428903552814,1,166,1
4,./learn_dataset_vehicle_single\sample_00004.npz,vehicle,5,1,299.63561203568577,9.828604750924129,1.4024143732667456,1,165,1
5,./learn_dataset_vehicle_single\sample_00005.npz,vehicle,6,1,299.5373265554729,9.82849127303934,1.4040869832435796,1,165,1
6,./learn_dataset_vehicle_single\sample_00006.npz,vehicle,7,1,299.4390422105975,9.828377683395635,1.4057607214232668,1,165,1
7,./learn_dataset_vehicle_single\sample_00007.npz,vehicle,8,1,299.340759002178,9.828263981847504,1.407435588944822,1,165,1
8,./learn_dataset_vehicle_single\sample_00008.npz,vehicle,9,1,299.24247693133407,9.828150168249206,1.4091115869487865,1,164,1
9,./learn_dataset_vehicle_single\sample_00009.npz,vehicle,10,1,299.144195999187,9.82803624245476,1.4107887165772361,1,164,1
10,./learn_dataset_vehicle_single\sample_00010.npz,vehicle,11,1,299.04591620685943,9.827922204317954,1.4124669789737807,1,164,1
11,./learn_dataset_vehicle_single\sample_00011.npz,vehicle,12,1,298.9476375554756,9.827808053692335,1.4141463752835663,1,164,1
12,./learn_dataset_vehicle_single\sample_00012.npz,vehicle,13,1,298.84936004616105,9.827693790431217,1.415826906653283,1,163,1
13,./learn_dataset_vehicle_single\sample_00013.npz,vehicle,14,1,298.75108368004294,9.827579414387676,1.417508574231158,1,163,1
14,./learn_dataset_vehicle_single\sample_00014.npz,vehicle,15,1,298.65280845824975,9.827464925414553,1.4191913791669706,1,163,1
15,./learn_dataset_vehicle_single\sample_00015.npz,vehicle,16,1,298.55453438191154,9.827350323364445,1.4208753226120434,1,163,1
16,./learn_dataset_vehicle_single\sample_00016.npz,vehicle,17,1,298.4562614521599,9.827235608089717,1.4225604057192487,1,162,1
17,./learn_dataset_vehicle_single\sample_00017.npz,vehicle,18,1,298.35798967012767,9.827120779442492,1.4242466296430165,1,162,1
18,./learn_dataset_vehicle_single\sample_00018.npz,vehicle,19,1,298.25971903694943,9.827005837274653,1.4259339955393266,1,162,1
19,./learn_dataset_vehicle_single\sample_00019.npz,vehicle,20,1,298.16144955376103,9.826890781437847,1.4276225045657245,1,162,1
20,./learn_dataset_vehicle_single\sample_00020.npz,vehicle,21,1,298.0631812217,9.826775611783475,1.4293121578813106,1,161,1
21,./learn_dataset_vehicle_single\sample_00021.npz,vehicle,22,1,297.9649140419053,9.826660328162701,1.431002956646749,1,161,1
22,./learn_dataset_vehicle_single\sample_00022.npz,vehicle,23,1,297.86664801551717,9.826544930426449,1.4326949020242759,1,161,1
23,./learn_dataset_vehicle_single\sample_00023.npz,vehicle,24,1,297.7683831436776,9.8264294184254,1.434387995177689,1,161,1
24,./learn_dataset_vehicle_single\sample_00024.npz,vehicle,25,1,297.67011942753004,9.826313792009993,1.4360822372723632,1,160,1
25,./learn_dataset_vehicle_single\sample_00025.npz,vehicle,26,1,297.5718568682193,9.82619805103042,1.4377776294752445,1,160,1
26,./learn_dataset_vehicle_single\sample_00026.npz,vehicle,27,1,297.4735954668918,9.82608219533664,1.4394741729548552,1,160,1
27,./learn_dataset_vehicle_single\sample_00027.npz,vehicle,28,1,297.37533522469545,9.82596622477836,1.4411718688813009,1,160,1
28,./learn_dataset_vehicle_single\sample_00028.npz,vehicle,29,1,297.27707614277966,9.825850139205045,1.4428707184262641,1,159,1
29,./learn_dataset_vehicle_single\sample_00029.npz,vehicle,30,1,297.17881822229526,9.825733938465916,1.444570722763017,1,159,1
30,./learn_dataset_vehicle_single\sample_00030.npz,vehicle,31,1,297.0805614643947,9.825617622409954,1.4462718830664163,1,159,1
31,./learn_dataset_vehicle_single\sample_00031.npz,vehicle,32,1,296.9823058702319,9.825501190885886,1.4479742005129088,1,158,1
32,./learn_dataset_vehicle_single\sample_00032.npz,vehicle,33,1,296.88405144096237,9.825384643742197,1.4496776762805355,1,158,1
33,./learn_dataset_vehicle_single\sample_00033.npz,vehicle,34,1,296.785798177743,9.825267980827126,1.4513823115489322,1,158,1
34,./learn_dataset_vehicle_single\sample_00034.npz,vehicle,35,1,296.68754608173225,9.825151201988668,1.4530881074993338,1,158,1
35,./learn_dataset_vehicle_single\sample_00035.npz,vehicle,36,1,296.5892951540901,9.825034307074567,1.4547950653145751,1,157,1
36,./learn_dataset_vehicle_single\sample_00036.npz,vehicle,37,1,296.4910453959782,9.824917295932318,1.4565031861790931,1,157,1
37,./learn_dataset_vehicle_single\sample_00037.npz,vehicle,38,1,296.3927968085594,9.824800168409173,1.4582124712789357,1,157,1
38,./learn_dataset_vehicle_single\sample_00038.npz,vehicle,39,1,296.2945493929985,9.824682924352127,1.4599229218017546,1,157,1
39,./learn_dataset_vehicle_single\sample_00039.npz,vehicle,40,1,296.19630315046135,9.824565563607939,1.4616345389368166,1,156,1
40,./learn_dataset_vehicle_single\sample_00040.npz,vehicle,41,1,296.09805808211576,9.824448086023104,1.463347323875002,1,156,1
41,./learn_dataset_vehicle_single\sample_00041.npz,vehicle,42,1,295.99981418913086,9.824330491443876,1.4650612778088081,1,156,1
42,./learn_dataset_vehicle_single\sample_00042.npz,vehicle,43,1,295.90157147267735,9.824212779716257,1.4667764019323537,1,156,1
43,./learn_dataset_vehicle_single\sample_00043.npz,vehicle,44,1,295.80332993392756,9.824094950685991,1.4684926974413772,1,155,1
44,./learn_dataset_vehicle_single\sample_00044.npz,vehicle,45,1,295.7050895740552,9.823977004198582,1.4702101655332451,1,155,1
45,./learn_dataset_vehicle_single\sample_00045.npz,vehicle,46,1,295.6068503942356,9.823858940099274,1.4719288074069532,1,155,1
46,./learn_dataset_vehicle_single\sample_00046.npz,vehicle,47,1,295.5086123956458,9.823740758233058,1.4736486242631228,1,155,1
47,./learn_dataset_vehicle_single\sample_00047.npz,vehicle,48,1,295.410375579464,9.823622458444678,1.4753696173040158,1,154,1
48,./learn_dataset_vehicle_single\sample_00048.npz,vehicle,49,1,295.31213994687045,9.823504040578618,1.477091787733525,1,154,1
49,./learn_dataset_vehicle_single\sample_00049.npz,vehicle,50,1,295.2139054990466,9.823385504479111,1.4788151367571873,1,154,1
50,./learn_dataset_vehicle_single\sample_00050.npz,vehicle,51,1,295.1156722371755,9.823266849990135,1.4805396655821785,1,154,1
51,./learn_dataset_vehicle_single\sample_00051.npz,vehicle,52,1,295.0174401624419,9.823148076955412,1.4822653754173187,1,153,1
52,./learn_dataset_vehicle_single\sample_00052.npz,vehicle,53,1,294.91920927603206,9.823029185218413,1.4839922674730792,1,153,1
53,./learn_dataset_vehicle_single\sample_00053.npz,vehicle,54,1,294.8209795791338,9.822910174622345,1.4857203429615773,1,153,1
54,./learn_dataset_vehicle_single\sample_00054.npz,vehicle,55,1,294.7227510729363,9.822791045010169,1.4874496030965891,1,153,1
55,./learn_dataset_vehicle_single\sample_00055.npz,vehicle,56,1,294.62452375863074,9.822671796224578,1.4891800490935412,1,152,1
56,./learn_dataset_vehicle_single\sample_00056.npz,vehicle,57,1,294.52629763740964,9.822552428108008,1.4909116821695212,1,152,1
57,./learn_dataset_vehicle_single\sample_00057.npz,vehicle,58,1,294.42807271046695,9.822432940502651,1.4926445035432814,1,152,1
58,./learn_dataset_vehicle_single\sample_00058.npz,vehicle,59,1,294.3298489789984,9.822313333250424,1.4943785144352322,1,152,1
59,./learn_dataset_vehicle_single\sample_00059.npz,vehicle,60,1,294.23162644420125,9.822193606192997,1.4961137160674587,1,151,1
60,./learn_dataset_vehicle_single\sample_00060.npz,vehicle,61,1,294.13340510727437,9.822073759171772,1.4978501096637116,1,151,1
61,./learn_dataset_vehicle_single\sample_00061.npz,vehicle,62,1,294.03518496941825,9.821953792027891,1.4995876964494144,1,151,1
62,./learn_dataset_vehicle_single\sample_00062.npz,vehicle,63,1,293.93696603183474,9.821833704602247,1.5013264776516706,1,151,1
63,./learn_dataset_vehicle_single\sample_00063.npz,vehicle,64,1,293.83874829572767,9.821713496735454,1.5030664544992576,1,150,1
64,./learn_dataset_vehicle_single\sample_00064.npz,vehicle,65,1,293.7405317623021,9.821593168267878,1.5048076282226384,1,150,1
65,./learn_dataset_vehicle_single\sample_00065.npz,vehicle,66,1,293.6423164327648,9.821472719039624,1.5065500000539578,1,150,1
66,./learn_dataset_vehicle_single\sample_00066.npz,vehicle,67,1,293.54410230832434,9.82135214889052,1.508293571227049,1,149,1
67,./learn_dataset_vehicle_single\sample_00067.npz,vehicle,68,1,293.44588939019064,9.821231457660145,1.5100383429774378,1,149,1
68,./learn_dataset_vehicle_single\sample_00068.npz,vehicle,69,1,293.3476776795753,9.821110645187812,1.5117843165423372,1,149,1
69,./learn_dataset_vehicle_single\sample_00069.npz,vehicle,70,1,293.24946717769154,9.820989711312563,1.513531493160663,1,149,1
70,./learn_dataset_vehicle_single\sample_00070.npz,vehicle,71,1,293.15125788575426,9.820868655873182,1.5152798740730262,1,148,1
71,./learn_dataset_vehicle_single\sample_00071.npz,vehicle,72,1,293.0530498049799,9.820747478708183,1.517029460521739,1,148,1
72,./learn_dataset_vehicle_single\sample_00072.npz,vehicle,73,1,292.9548429365864,9.820626179655823,1.5187802537508226,1,148,1
73,./learn_dataset_vehicle_single\sample_00073.npz,vehicle,74,1,292.85663728179355,9.820504758554081,1.520532255006001,1,148,1
74,./learn_dataset_vehicle_single\sample_00074.npz,vehicle,75,1,292.7584328418227,9.820383215240675,1.5222854655347118,1,147,1
75,./learn_dataset_vehicle_single\sample_00075.npz,vehicle,76,1,292.6602296178966,9.820261549553061,1.524039886586107,1,147,1
76,./learn_dataset_vehicle_single\sample_00076.npz,vehicle,77,1,292.56202761124007,9.820139761328415,1.5257955194110484,1,147,1
77,./learn_dataset_vehicle_single\sample_00077.npz,vehicle,78,1,292.4638268230791,9.820017850403655,1.5275523652621288,1,147,1
78,./learn_dataset_vehicle_single\sample_00078.npz,vehicle,79,1,292.3656272546416,9.819895816615427,1.529310425393651,1,146,1
